user_input,optimized_prompt,category,source
Tell me a story about neural prosthetics.,Imagine you are a science fiction author renowned for your detailed and emotionally resonant narratives. Craft a story set 50 years in the future where neural prosthetics are commonplace.   First; brainstorm three distinct scenarios involving neural prosthetics and their impact on society. Consider both positive and negative consequences. For each scenario; outline the key characters; the central conflict; and the resolution.  Second; select the most compelling scenario and develop it into a short story of approximately 500 words. Focus on the human element – how these technologies affect relationships; identity; and the very definition of what it means to be human. Consider the ethical implications of widespread neural augmentation. Include vivid descriptions of the technology and its effects on the characters' senses and emotions.   Finally; ensure the story has a clear beginning; rising action; climax; and resolution. The tone should be thought-provoking and engaging; leaving the reader with a sense of wonder and perhaps a touch of unease.,CREATIVE_WRITING,prompt_examples_dataset
Tell me about photography techniques.,You are an expert photography tutor. I want to understand the logic behind a photography techniques algorithm. Please provide a Python function that takes a description of a photographic scene as input (e.g.; 'portrait in low light') and outputs a list of recommended photography techniques (e.g.; ['use a wide aperture'; 'increase ISO'; 'use a reflector']). The function should include comments explaining the reasoning behind each recommendation. Also; provide a sample usage of the function with the input 'landscape at sunset'.,CODE_EXPLANATION,prompt_examples_dataset
Tell me about neural prosthetics.,You are a leading neuroscientist specializing in neural prosthetics. Please provide a detailed overview of the most recent advancements in the field; focusing on both invasive and non-invasive techniques. Include specific examples of successful applications; ongoing clinical trials; and remaining challenges. Use chain-of-thought reasoning to explain the underlying principles and potential future directions of this technology. Consider advancements in decoding algorithms; biocompatible materials; and closed-loop systems.,CONVERSATIONAL,prompt_examples_dataset
Tell me about emotions.,I want to understand the basic human emotions. First; define what an emotion is. Then; list and briefly describe at least six basic emotions that humans experience. Finally; explain how these emotions might influence a person's behavior.,COMPARISON,prompt_examples_dataset
Explain the concept of competitive exclusion in ecology.,Here are examples of competitive exclusion. Example 1: Two paramecium species; *P. aurelia* and *P. caudatum*; are grown separately and both thrive. When grown together; *P. aurelia* outcompetes *P. caudatum*; leading to the local extinction of *P. caudatum*. Example 2: Two plant species compete for sunlight in a forest. The taller species eventually shades out the shorter species; leading to a reduction in the shorter species' population. Now; explain the principle of competitive exclusion in ecology; including the conditions under which it occurs; and provide a novel example not mentioned above. Your explanation should include the Lotka-Volterra competition equations and how they relate to the outcome.,PROGRAMMING_CODE_GENERATION,prompt_examples_dataset
Give me advice on relationships.,I need help organizing common relationship advice into categories. Here are a few examples to guide you:  Example 1: Advice: Communicate openly and honestly. Category: Communication  Example 2: Advice: Schedule regular date nights. Category: Quality Time  Example 3: Advice: Learn to forgive each other. Category: Conflict Resolution  Now; please categorize the following relationship advice elements:  1.  Actively listen to your partner. 2.  Show appreciation for your partner. 3.  Establish healthy boundaries. 4.  Resolve conflicts constructively. 5.  Spend quality time together. 6.  Express your needs and desires clearly. 7.  Support each other's goals. 8.  Learn each other's love languages. 9.  Practice empathy. 10. Respect each other's individuality.,CLASSIFICATION_TAGGING,prompt_examples_dataset
Write a story about alternative medicine.,Imagine a world where conventional medicine has failed. A young woman named Elara; suffering from a mysterious illness; seeks help from a reclusive herbalist living deep within the Amazon rainforest. Using the TREE_OF_THOUGHTS technique; explore the following branches: Branch 1: Describe Elara's illness and her desperation. Branch 2: Detail the herbalist's unique methods and philosophy of healing. Branch 3: Narrate the challenges Elara faces during her treatment; including skepticism from her family and potential side effects. Branch 4: Depict the climax of Elara's treatment and the ultimate outcome; whether successful or not; and the lessons learned. Ensure the story incorporates elements of suspense; cultural sensitivity; and a nuanced perspective on the efficacy and limitations of alternative medicine.,CREATIVE_WRITING,prompt_examples_dataset
Analyze the film 'Parasite'. What are its main themes?,You are a film critic. Write a Python script that analyzes the screenplay of the film 'Parasite' to identify and quantify the frequency of keywords associated with potential themes such as class conflict; social inequality; ambition; and deception. The script should then output a JSON object containing the identified themes and their relative importance based on keyword frequency. Provide the Python script and the resulting JSON object.,PROGRAMMING_CODE_GENERATION,prompt_examples_dataset
How do I make a website?,I want to build a personal portfolio website to showcase my work as a freelance graphic designer. I need a simple; responsive design that looks good on both desktop and mobile devices. The website should have the following sections: a homepage with a brief introduction and a hero image; an 'About Me' page with a more detailed bio and skills section; a 'Portfolio' page to display my projects with images and descriptions; and a 'Contact' page with a contact form. Please provide a step-by-step guide; including specific technologies to use (e.g.; HTML; CSS; JavaScript; frameworks); example code snippets for each section; and recommendations for hosting the website. Explain your reasoning for choosing these technologies. Break down the process into smaller; manageable steps. Think step by step.,QUESTION_ANSWERING,prompt_examples_dataset
Explain loop quantum gravity.,I am researching loop quantum gravity (LQG). Explain the core concepts of LQG; including spin networks; spin foam; and quantization of space. Provide a step-by-step explanation of how LQG attempts to quantize spacetime and address the problem of singularities in general relativity. Include a discussion of the challenges and open questions in LQG research. As an example; consider the application of LQG to black hole entropy calculations and compare it to string theory's approach. Use CHAIN_OF_THOUGHT to explain each concept.,PROGRAMMING_CODE_GENERATION,prompt_examples_dataset
Explain genetic inheritance.,Imagine you're a friendly science teacher explaining genetic inheritance to high school students. Use analogies and real-world examples to make the concepts of dominant and recessive genes; genotypes; and phenotypes easy to understand. Focus on making it engaging and memorable. Include examples like eye color or genetic diseases.,STYLE_TONE_CHANGE,prompt_examples_dataset
Tell me about soil science.,You are an expert in soil science. Explain the interdisciplinary nature of soil science; including its key disciplines like soil physics; soil chemistry; soil biology; and soil mineralogy. Also; describe how soil science contributes to agriculture; environmental science; and civil engineering. Provide examples of how soil scientists address real-world problems such as soil erosion; contamination; and fertility management. Structure your answer in a clear and concise manner.,INFORMATIONAL,prompt_examples_dataset
What is the philosophy of science?,Explain the philosophy of science; focusing on the problem of induction; the demarcation problem; and scientific realism vs. anti-realism. Use the chain of thought method to break down each concept; providing historical context and examples. Conclude by discussing the implications of these philosophical debates for scientific practice and public understanding of science.,CONVERSATIONAL,prompt_examples_dataset
Tell me about world history.,Provide a concise overview of major turning points in world history; focusing on events that led to significant global shifts in power; culture; or technology. Include specific examples such as the Neolithic Revolution; the Roman Empire's decline; the Renaissance; the Industrial Revolution; and the Cold War. For each event; briefly explain its causes; key features; and lasting consequences.,INFORMATIONAL,prompt_examples_dataset
Translate this literary criticism into Spanish.,You are an expert literary translator specializing in academic texts. Your task is to translate the following excerpt of literary criticism into Spanish. Ensure the translation maintains the original meaning; tone; and level of formality. Provide three independent translations; each approaching the text from a slightly different stylistic perspective; to ensure self-consistency and robustness. The excerpt is:  [Insert Literary Criticism Text Here],TRANSLATION,prompt_examples_dataset
What are some ways to prepare for a disaster?,Here are some examples of disaster preparedness methods and their pros and cons:  Method: Building a storm shelter Pros: Provides immediate protection from severe weather; increases property value. Cons: Expensive to build; requires space; may not be effective against all types of disasters.  Method: Stockpiling food and water Pros: Ensures access to essential supplies during and after a disaster; relatively inexpensive. Cons: Requires storage space; food and water can expire; may not be sufficient for long-term disasters.  Now; provide a similar analysis for the following disaster preparedness methods:  Method: Creating a family emergency plan Pros: Cons:  Method: Learning first aid and CPR Pros: Cons:  Method: Purchasing flood insurance Pros: Cons:,COMPARISON,prompt_examples_dataset
What are the pros and cons of stem cell therapy?,You are a medical researcher specializing in stem cell therapies. I need a detailed analysis of the advantages and disadvantages of different stem cell therapy methods; including autologous; allogeneic; and induced pluripotent stem cells (iPSCs). For each method; discuss the potential benefits in treating specific diseases; the risks involved (e.g.; immune rejection; tumor formation); the ethical considerations; and the current stage of research or clinical application. Use a chain of thought approach to first outline the key aspects of each method before diving into the pros and cons. Conclude with a summary of which methods hold the most promise for future therapeutic applications and why.,COMPARISON,prompt_examples_dataset
Tell me about epigenetics.,You are an expert in molecular biology. Please provide a detailed summary of the key epigenetic mechanisms; including DNA methylation; histone modification; and non-coding RNA-mediated regulation. For each mechanism; describe the molecular processes involved; their impact on gene expression; and examples of their roles in development or disease. Structure your answer in a markdown table with columns for Mechanism; Molecular Process; Impact on Gene Expression; and Example Role. Use code blocks to illustrate key chemical modifications or regulatory sequences.,DATA_EXTRACTION,prompt_examples_dataset
Rewrite this card game description for kids.,Here are some examples of card game descriptions written for kids:  Uno: The aim of the game is to be the first player to have no cards remaining. The game uses a special deck consisting of number cards; skip cards; reverse cards; draw two cards; and wild cards. Players take turns matching a card in their hand with the current card shown on the top of the discard pile.  Go Fish: The goal is to form matched sets of cards. Players take turns asking each other for specific cards to help them form these sets. When a player has a set of four cards of the same rank; they reveal the set and place it face up in front of them.  Now; rewrite the following card game description in a similar style; making it easy for children to understand:  [Original card game description here],STYLE_TONE_CHANGE,prompt_examples_dataset
Rewrite this sales content to sound more professional: [insert sales content here],You are a sales training expert. I need you to rewrite the following sales techniques content to be more professional and suitable for training new sales staff. Focus on using clear; concise language and avoiding jargon. Provide the rewritten content directly. Here is the original content: [insert sales content here],STYLE_TONE_CHANGE,prompt_examples_dataset
Tell me about augmented reality.,I need an FAQ document about augmented reality. Please answer the following questions in a clear and concise manner; explaining the concepts in detail:  1.  What is augmented reality (AR)? Explain the core concept and how it differs from virtual reality (VR). 2.  What are the key components required for an AR system to function? 3.  What are some common applications of AR in different industries (e.g.; gaming; retail; healthcare)? Provide specific examples. 4.  What are the advantages and disadvantages of using AR technology? 5.  What are the current trends and future directions in AR development?  Let's think step by step.,QUESTION_ANSWERING,prompt_examples_dataset
Explain how sports work.,You are an expert sports commentator. Explain the basic rules and objectives of three popular sports: basketball; soccer; and American football. For each sport; briefly describe the playing field; the number of players; and how points are scored.,INFORMATIONAL,prompt_examples_dataset
Tell me about primary colors.,Explain what primary colors are; listing each one and briefly describing why they are considered primary. Assume the audience has no prior knowledge of color theory.,INFORMATIONAL,prompt_examples_dataset
What are some important concepts in population genetics?,Explain the following concepts in population genetics; providing definitions and examples: 1. Hardy-Weinberg equilibrium; including its assumptions and how it is used. 2. Genetic drift; including its causes and effects on allele frequencies. 3. Natural selection; including different modes of selection (directional; stabilizing; disruptive) and their impact on population diversity. 4. Gene flow; including its effects on genetic variation within and between populations. 5. Mutation; including its role as the ultimate source of genetic variation.,QUESTION_ANSWERING,prompt_examples_dataset
Explain cognitive neuroscience.,Let's create a tutorial on cognitive neuroscience. First; take a step back and explain what are the major disciplines that contributed to the field. Then; explain the key principles of cognitive neuroscience; including neural representation; cognitive architecture; and the different levels of analysis (computational; algorithmic; and implementational). Finally; describe some of the major methods used in cognitive neuroscience research; such as fMRI; EEG; and TMS. For each method; explain how it works and what types of questions it can be used to answer.,INSTRUCTIONAL,prompt_examples_dataset
Explain the ethical issues in gene editing.,You are a bioethics specialist. Please explain the ethical issues surrounding CRISPR-based gene editing in humans; focusing on somatic vs. germline editing. Discuss potential benefits; risks; and societal implications; including concerns about eugenics and equitable access. Provide specific examples to illustrate your points.,ROLE_PLAYING,prompt_examples_dataset
What are the implications of a heart transplant?,Let's think step by step. First; what is the primary purpose of a heart transplant? Second; considering the purpose; what are the immediate risks associated with the surgery itself? Third; what are the long-term implications for the patient's lifestyle; including medication; diet; and exercise? Fourth; what are the potential psychological impacts on the patient and their family? Finally; considering all these factors; summarize the overall implications of undergoing a heart transplant; including both positive and negative aspects.,ANALYSIS_CRITIQUE,prompt_examples_dataset
Are jokes good or bad?,You are an expert on humor. Provide two perspectives on the ethics of telling jokes. The first perspective should argue that jokes are generally harmless and can be a valuable tool for social bonding and stress relief. The second perspective should argue that jokes can be harmful; especially when they rely on stereotypes or target marginalized groups. Provide specific examples to support each perspective.,COMPARISON,prompt_examples_dataset
Explain chaos theory.,You are an expert in complex systems and mathematical modeling. Explain how chaos theory is applied in various fields; including but not limited to meteorology; finance; and biology. Provide specific examples of how sensitive dependence on initial conditions; also known as the butterfly effect; manifests in these applications. Furthermore; discuss the limitations and challenges in applying chaos theory to real-world problems. Use SYSTEM_PROMPTING and CONTEXTUAL_PROMPTING techniques.,INFORMATIONAL,prompt_examples_dataset
Tell me about cooking techniques.,Explain three essential cooking techniques for a beginner; including a brief description of each technique; the types of food it's best suited for; and a common mistake to avoid. Use the following format:  Technique: [Technique Name] Description: [Brief description] Best for: [Types of food] Common Mistake: [Mistake to avoid],INFORMATIONAL,prompt_examples_dataset
Explain embodied cognition.,You are a cognitive science professor specializing in embodied cognition. Please provide a comprehensive academic overview of embodied cognition; including its core tenets; supporting empirical evidence from cognitive psychology and neuroscience; and major theoretical challenges and criticisms. Structure your response into distinct sections covering: 1) Definition and Core Principles; 2) Empirical Support; 3) Theoretical Challenges; and 4) Future Directions. Cite relevant academic sources.,STYLE_TONE_CHANGE,prompt_examples_dataset
Tell me a story about being outside.,Write a short story from the perspective of a child who goes on a nature walk in the forest with their family. Describe the sights; sounds; and smells they experience; and how it makes them feel.,CREATIVE_WRITING,prompt_examples_dataset
